doc_file	start_line	end_line	target_file	region_name	notes
README.md	40	94	plugin_lifecycle.dart	session-plugin-basic	full intro example: plugin + runtime + session
README.md	40	94	plugin_lifecycle.dart	introduction-casual-plugin	casual plugin variant from README intro
packages/flutter_plugin_kit/README.md	28	68	flutter_integration.dart	flutter-runtime-scope-in-app	PluginRuntimeScope + PluginSessionStateListener
packages/flutter_plugin_kit/README.md	72	79	flutter_integration.dart	flutter-builder-watch-event	BuildContext.watchEvent extension
packages/flutter_plugin_kit/README.md	107	122	flutter_integration.dart	flutter-plugin-event-notifier	PluginEventCubit with PluginEventNotifier
packages/plugin_kit/README.md	1	50	plugin_lifecycle.dart	session-plugin-attach	SessionPlugin register+attach pattern
packages/plugin_kit/README.md	50	100	runtime_settings.dart	runtime-settings-construct	RuntimeSettings construction
packages/plugin_kit/README.md	100	150	event_bus.dart	event-bus-on-emit	EventBus on+emit basic pattern
packages/plugin_kit_dialog/README.md	1	50	dialog.dart	dialog-show-dialog	showPluginKitDialog usage
packages/plugin_kit_dialog/README.md	50	100	dialog.dart	dialog-ui-configurable-capability	UiConfigurableCapability with NumberConfigField
packages/plugin_kit_dialog/README.md	100	150	dialog.dart	dialog-visuals-plugin	PluginKitVisualsPlugin registration
packages/plugin_kit_dialog/README.md	150	200	dialog.dart	dialog-color-picker-renderer	ConfigFieldRenderer + FieldRenderersPlugin
website/src/content/docs/core/runtime-settings.mdx	1	50	runtime_settings.dart	runtime-settings-construct	RuntimeSettings constructor with plugins+services
website/src/content/docs/core/runtime-settings.mdx	50	100	runtime_settings.dart	runtime-settings-json	toJson/fromJson round-trip
website/src/content/docs/core/runtime-settings.mdx	100	150	runtime_settings.dart	runtime-settings-copy-with	copyWith pattern
website/src/content/docs/core/runtime-settings.mdx	150	200	runtime_settings.dart	runtime-settings-empty	RuntimeSettings.empty()
website/src/content/docs/core/runtime-settings.mdx	200	250	runtime_settings.dart	runtime-settings-priority	Pin priority in services map
website/src/content/docs/core/runtime-settings.mdx	250	300	runtime_settings.dart	runtime-settings-to-json	explicit toJson call
website/src/content/docs/core/runtime-settings.mdx	300	350	runtime_settings.dart	service-settings-copy-with	ServiceSettings copyWith
website/src/content/docs/core/runtime-settings.mdx	350	400	runtime_settings.dart	plugin-config-construct	PluginConfig construction
website/src/content/docs/core/plugin-lifecycle.mdx	1	50	plugin_lifecycle.dart	session-plugin-basic	SessionPlugin with FeatureFlag
website/src/content/docs/core/plugin-lifecycle.mdx	50	100	plugin_lifecycle.dart	feature-flag	FeatureFlag extension type usage
website/src/content/docs/core/plugin-lifecycle.mdx	100	150	plugin_lifecycle.dart	locked-plugin	locked plugin cannot be disabled
website/src/content/docs/core/plugin-lifecycle.mdx	150	200	plugin_lifecycle.dart	plugin-dependencies	plugin declaring dependencies
